contest_name,choice,sum_total_votes
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 3,Matt Sears,6687
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),102
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Angela Starke,1742
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Antonio Jones,2198
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Natalie Beyer,4835
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),121
DURHAM COUNTY SHERIFF (DEM),Clarence Birkhead,21639
DURHAM COUNTY SHERIFF (DEM),Mike Andrews,9705
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 1,Evelyn Shaw Wilson,200
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),4
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 3,Evelyn J. Johnson,231
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),5
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 5,Ann Elise Kent,159
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 5,Write-In (Miscellaneous),5
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 7,Marva G. Scott,179
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 7,Write-In (Miscellaneous),9
FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),A. L. (Buddy) Collins,6089
FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Jimmie Boyd,3044
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Everette Witherspoon,2906
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Fleming El-Amin,3057
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Tony Lewis Burton III,2801
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Tonya McDaniel,3328
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Alex Bailand Bohannon,2111
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Barbara Hanes Burke,4049
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Chenita Barber Johnson,1787
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Eunice Campbell,1352
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Malishai (Shai) Woodbury,2987
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),Dana Caudill Jones,5690
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),David B. Singletary,5239
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),Leah H. Crowley,5290
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),Lida Calvert Hayes,6063
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),Lori Goins Clark,6224
FORSYTH COUNTY SHERIFF (DEM),"Bobby F. Kimbrough, Jr.",12486
FORSYTH COUNTY SHERIFF (DEM),Clif Kilby,1645
FORSYTH COUNTY SHERIFF (DEM),Tim Wooten,3807
FORSYTH COUNTY SHERIFF (REP),Ernie G. Leyba,2110
FORSYTH COUNTY SHERIFF (REP),William T. (Bill) Schatzman,7938
FRANKLIN COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Glenn Swanson,384
FRANKLIN COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Mark Speed,602
FRANKLIN COUNTY BOARD OF EDUCATION AT-LARGE,Michael J. Hurt,2286
FRANKLIN COUNTY BOARD OF EDUCATION AT-LARGE,Paige Sayles,3544
FRANKLIN COUNTY BOARD OF EDUCATION AT-LARGE,Write-In (Miscellaneous),28
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 1,Bernard Hall,980
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 1,Write-In (Miscellaneous),39
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 3,Dwight Neal,622
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 3,Elizabeth S. Keith,798
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 3,Write-In (Miscellaneous),3
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 5,Gil Johnson,486
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 5,Meghan Jordan,673
FRANKLIN COUNTY BOARD OF EDUCATION SEAT 5,Write-In (Miscellaneous),3
GATES COUNTY BOARD OF COMMISSIONERS GATES DISTRICT (DEM),Moe Brooks,965
GATES COUNTY BOARD OF COMMISSIONERS GATES DISTRICT (DEM),Ray Freeman,1083
GATES COUNTY BOARD OF COMMISSIONERS GATESVILLE DISTRICT (DEM),Curtis Wilkins,573
GATES COUNTY BOARD OF COMMISSIONERS GATESVILLE DISTRICT (DEM),Jack Owens,1375
GATES COUNTY BOARD OF EDUCATION DISTRICT 1,Sallie J. Ryan,2044
GATES COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),19
GATES COUNTY BOARD OF EDUCATION DISTRICT 3,Glendale Phelps Boone,1936
GATES COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),20
GATES COUNTY BOARD OF EDUCATION DISTRICT 5,Leslie S. Byrum,1954
GATES COUNTY BOARD OF EDUCATION DISTRICT 5,Write-In (Miscellaneous),15
GATES COUNTY CLERK OF SUPERIOR COURT (DEM),Marsha F. Langston,775
GATES COUNTY CLERK OF SUPERIOR COURT (DEM),Nell F. Wiggins,1316
GATES COUNTY SHERIFF (DEM),Nurnie E. Reid,148
GATES COUNTY SHERIFF (DEM),Randy Hathaway,279
GATES COUNTY SHERIFF (DEM),Ray Campbell,876
GATES COUNTY SHERIFF (DEM),Robert (O.J.) Jordan,811
GATES COUNTY SHERIFF (REP),Bryan Daryll Johnson,95
GATES COUNTY SHERIFF (REP),James Gary Ingram,204
GRAHAM COUNTY BOARD OF COMMISSIONERS (REP),Dale E. Wiggins,759
GRAHAM COUNTY BOARD OF COMMISSIONERS (REP),Lynn Cody,748
GRAHAM COUNTY BOARD OF COMMISSIONERS (REP),Raymond David Williams Sr.,537
GRAHAM COUNTY BOARD OF COMMISSIONERS (REP),Tabitha M. Myler,497
GRAHAM COUNTY SHERIFF (DEM),John D. Lovin,261
GRAHAM COUNTY SHERIFF (DEM),Kent Williams,213
GRAHAM COUNTY SHERIFF (DEM),Larry Icenhower,57
GRAHAM COUNTY SHERIFF (DEM),Tommy Holland,220
GRAHAM COUNTY SHERIFF (REP),Danny Millsaps,233
GRAHAM COUNTY SHERIFF (REP),Joseph Jones,601
GRAHAM COUNTY SHERIFF (REP),Keith Eller,277
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 3,"Bud W. Wegner, Jr.",181
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 3,Rob Rivers,353
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),6
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 4,Charles Nichols,107
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 4,Katrina Burton Waters,276
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 4,"Leonard E. Peace, Sr.",344
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 4,Tolokun Omokunde,290
GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),5
GRANVILLE COUNTY SHERIFF (DEM),"Brindell B. Wilkins, Jr.",3319
GRANVILLE COUNTY SHERIFF (DEM),"Robert D. Fountain, Jr.",1394
GRANVILLE COUNTY SHERIFF (DEM),Ronald M. Smith,596
GREENE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Jerry R. Jones,1151
GREENE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Natasha Sutton,1243
GREENE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Bennie Heath,995
GREENE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),JoAnn Artis Stevens,751
GREENE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Robert (Bobby) Glossip,677
GUILFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Alan W. Perdue,1655
GUILFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Ashley Tillery,782
GUILFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 8 UNEXPIRED (DEM),Fahiym Hanna,961
GUILFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 8 UNEXPIRED (DEM),Skip Alston,2286
GUILFORD COUNTY BOARD OF EDUCATION AT-LARGE (DEM),Alan W. Duncan,13272
GUILFORD COUNTY BOARD OF EDUCATION AT-LARGE (DEM),"Keith McInnis, Sr.",3967
GUILFORD COUNTY BOARD OF EDUCATION AT-LARGE (DEM),Tijuana B. Hayes,9507
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 4 (DEM),Adrienne Nicole Spinner,888
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 4 (DEM),Desiree Best,1977
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 4 (REP),Linda Welborn,1520
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 4 (REP),Will Marsh,900
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 6 (DEM),Chris Hocker,1163
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 6 (DEM),Khem Denise Irby,1524
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 8 (DEM),Deena Hayes,2237
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 8 (DEM),Laverne Carter,388
GUILFORD COUNTY BOARD OF EDUCATION DISTRICT 8 (DEM),William (BJ) Levette,573
GUILFORD COUNTY SHERIFF (DEM),Danny Rogers,13478
GUILFORD COUNTY SHERIFF (DEM),"James Zimmerman, Sr.",3025
GUILFORD COUNTY SHERIFF (DEM),Therron J. (TJ) Phipps,9415
GUILFORD COUNTY SHERIFF (REP),BJ Barnes,11358
GUILFORD COUNTY SHERIFF (REP),Steve Parr,1610
HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),"J. Rives Manning, Jr.",4537
HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),James Mills,2037
HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),O.D. Sykes,3317
HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Patrick Qualls,4375
HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Rebecca Lynch Copeland,2983
HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Terry Buffaloe,2012
HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Vernon J. Bryant,5228
HALIFAX COUNTY BOARD OF EDUCATION,Claude (Clutch) Cooper,3096
HALIFAX COUNTY BOARD OF EDUCATION,Joyce Silver Lashley,2930
HALIFAX COUNTY BOARD OF EDUCATION,Nicole Mills,1366
HALIFAX COUNTY BOARD OF EDUCATION,Rachel Lynch,1236
HALIFAX COUNTY BOARD OF EDUCATION,Susie Lynch Evans,3333
HALIFAX COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),70
HALIFAX COUNTY CLERK OF SUPERIOR COURT (DEM),Becky Spragins,5028
HALIFAX COUNTY CLERK OF SUPERIOR COURT (DEM),"Michael Hawkins, Sr.",3711
HALIFAX COUNTY SHERIFF (DEM),Tyree Davis,3797
HALIFAX COUNTY SHERIFF (DEM),Wes Tripp,5033
HARNETT COUNTY BOARD OF EDUCATION DISTRICT 3 (DEM),Angela McCall Hill,206
HARNETT COUNTY BOARD OF EDUCATION DISTRICT 3 (DEM),David Tillman,287
HARNETT COUNTY BOARD OF EDUCATION DISTRICT 5 (REP),Don Godfrey,299
HARNETT COUNTY BOARD OF EDUCATION DISTRICT 5 (REP),J. A. Farina,272
HARNETT COUNTY SHERIFF (REP),Jerry Rivas,370
HARNETT COUNTY SHERIFF (REP),Wayne Coats,3201
HAYWOOD COUNTY BOARD OF COMMISSIONERS (REP),Mark Pless,1162
HAYWOOD COUNTY BOARD OF COMMISSIONERS (REP),Phillip Coker Wight,1059
HAYWOOD COUNTY BOARD OF COMMISSIONERS (REP),Terry Ramey,1056
HAYWOOD COUNTY BOARD OF COMMISSIONERS (REP),Tommy Long,1398
HAYWOOD COUNTY CLERK OF SUPERIOR COURT (DEM),Eddie West,847
HAYWOOD COUNTY CLERK OF SUPERIOR COURT (DEM),Hunter Plemmons,2769
HAYWOOD COUNTY CLERK OF SUPERIOR COURT (DEM),Jim Moore,664
HAYWOOD COUNTY TAX COLLECTOR (REP),Andrew (Tubby) Ferguson,877
HAYWOOD COUNTY TAX COLLECTOR (REP),Mike Matthews,1011
HENDERSON COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Michelle Antalec,1020
HENDERSON COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Patricia (Pat) Sheley,2461
HENDERSON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),Don Ward,5815
HENDERSON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),Rebecca McCall,6135
HENDERSON COUNTY SHERIFF (REP),Charles McDonald,5198
HENDERSON COUNTY SHERIFF (REP),Lowell Griffin,7330
HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),"Juan Vaughan, Sr.",1103
HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Leroy Douglas,1524
HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Tammy Mizelle,350
HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Tim Wadsworth,1287
HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Andre M. Lassiter,2520
HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Curtis Anthony Freeman,1600
HERTFORD COUNTY SHERIFF (DEM),Dexter Hayes,3224
HERTFORD COUNTY SHERIFF (DEM),Leon Eason,997
HOKE COUNTY BOARD OF COMMISSIONERS (DEM),"Allen Thomas, Jr.",3138
HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Angela Carter Jones,1112
HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Graham Poole,1191
HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Harry Southerland,2477
HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Terrell Samuel McMillan,893
HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Therman Little,456
HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Tony Hunt,2020
HOKE COUNTY SHERIFF (DEM),Darin M. Bronson,930
HOKE COUNTY SHERIFF (DEM),Hubert A. Peterkin,2867
HOKE COUNTY SHERIFF (DEM),Kemp Crumpler,663
HYDE COUNTY BOARD OF COMMISSIONERS SWAN QUARTER TOWNSHIP (DEM),James (Little Brother) Topping,297
HYDE COUNTY BOARD OF COMMISSIONERS SWAN QUARTER TOWNSHIP (DEM),Joseph (Joey) Williams,285
IREDELL COUNTY BOARD OF COMMISSIONERS (REP),Gene Houpe,5061
IREDELL COUNTY BOARD OF COMMISSIONERS (REP),James Mallory,5587
IREDELL COUNTY BOARD OF COMMISSIONERS (REP),Marvin Norman,4966
IREDELL COUNTY BOARD OF COMMISSIONERS (REP),Scottie Brown,4527
JACKSON COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Charles R. Elders,888
JACKSON COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Jarrett Crowe,247
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 2,Abigail Blakley Clayton,2231
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 2,Ken Henke,1765
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 2,Write-In (Miscellaneous),13
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 4,Ali Laird-Large,2168
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 4,Brian E. McClure,1810
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),7
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 5,James Stewart-Payne,1358
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 5,Margaret M. McRae,2537
JACKSON COUNTY BOARD OF EDUCATION DISTRICT 5,Write-In (Miscellaneous),13
JACKSON COUNTY CLERK OF SUPERIOR COURT (DEM),Ann D. Melton,2377
JACKSON COUNTY CLERK OF SUPERIOR COURT (DEM),Kim Coggins Poteet,739
JACKSON COUNTY SHERIFF (REP),Brent McMahan,356
JACKSON COUNTY SHERIFF (REP),Doug Farmer,780
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Chad M. Stewart,4351
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Richard D. (Dickie) Braswell,4333
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),Chris Ellington,3938
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),Patrick Harris,4241
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 6 (UNEXPIRED (REP),Lee Jackson,3073
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 6 (UNEXPIRED (REP),Tony Braswell,5362
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (REP),Allen Mims,3293
JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (REP),"R.S. (Butch) Lawter, Jr.",4938
JOHNSTON COUNTY BOARD OF EDUCATION,Butler Hall,3696
JOHNSTON COUNTY BOARD OF EDUCATION,Dorothy G. Johnson,5309
JOHNSTON COUNTY BOARD OF EDUCATION,Jason S. Barbour,4665
JOHNSTON COUNTY BOARD OF EDUCATION,"Jimmy P. Clapp, Jr.",4357
JOHNSTON COUNTY BOARD OF EDUCATION,John Radford,1497
JOHNSTON COUNTY BOARD OF EDUCATION,Terri Sessoms,7489
JOHNSTON COUNTY BOARD OF EDUCATION,Todd P. Sutton,4868
JOHNSTON COUNTY BOARD OF EDUCATION,Tracie N. Zukowski,4290
JOHNSTON COUNTY SHERIFF (REP),Bill B. Burgess,1299
JOHNSTON COUNTY SHERIFF (REP),Steve Bizzell,7716
JONES COUNTY BOARD OF COMMISSIONER DISTRICT 2 (DEM),James Harper,123
JONES COUNTY BOARD OF COMMISSIONER DISTRICT 2 (DEM),Todd Meadows,26
JONES COUNTY BOARD OF COMMISSIONER DISTRICT 7 (DEM),Joe Wiggins,55
JONES COUNTY BOARD OF COMMISSIONER DISTRICT 7 (DEM),Vernon Lee Harris,85
KANNAPOLIS CITY SCHOOLS BOARD OF EDUCATION AREA I,Brenda McCombs,931
KANNAPOLIS CITY SCHOOLS BOARD OF EDUCATION AREA I,Daniel M. Wallace,1149
KANNAPOLIS CITY SCHOOLS BOARD OF EDUCATION AREA I,Janet E. Yvars,587
KANNAPOLIS CITY SCHOOLS BOARD OF EDUCATION AREA I,Jessica Dixon Touart,529
KANNAPOLIS CITY SCHOOLS BOARD OF EDUCATION AREA I,Kristina Tutterow Cook,782
KANNAPOLIS CITY SCHOOLS BOARD OF EDUCATION AREA I,Write-In (Miscellaneous),3
LEE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),Arianna M. Del Palazzo,298
LEE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),Sandra Jones,130
LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),Bud Cesena,3421
LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),Christine Poinsette,2792
LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),George Mull,1870
LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),Milton H. Sigmon,3113
LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),Raye Watson-Smyth,1728
LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),Theodore Huss,1182
LINCOLN COUNTY CLERK OF SUPERIOR COURT (REP),Fred R. Hatley,5220
LINCOLN COUNTY CLERK OF SUPERIOR COURT (REP),Gregory Calvin Smith,942
LINCOLN COUNTY CLERK OF SUPERIOR COURT (REP),Heather Hester Job,2211
LINCOLN COUNTY REGISTER OF DEEDS (REP),Brian Crisson,2792
LINCOLN COUNTY REGISTER OF DEEDS (REP),Danny R. Hester,5299
LINCOLN COUNTY SHERIFF (REP),Anthony Huss,118
LINCOLN COUNTY SHERIFF (REP),Bill Beam,4372
LINCOLN COUNTY SHERIFF (REP),Carrol D. Mitchem,929
LINCOLN COUNTY SHERIFF (REP),Jason Munday,1325
LINCOLN COUNTY SHERIFF (REP),Jon Propst,773
LINCOLN COUNTY SHERIFF (REP),Tim W. Johnson,1276
MACON COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Jim Tate,1473
MACON COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),John A. Shearl,1006
MADISON BOARD OF EDUCATION CHAIR (DEM),Karen Blevins,1308
MADISON BOARD OF EDUCATION CHAIR (DEM),Theresa Banks,1097
MADISON COUNTY BOARD OF COMMISSIONERS (DEM),Clayton Rice,1300
MADISON COUNTY BOARD OF COMMISSIONERS (DEM),Craig D. Goforth,1721
MADISON COUNTY BOARD OF COMMISSIONERS (DEM),Mark Snelson,1580
MADISON COUNTY BOARD OF COMMISSIONERS (DEM),Norris Gentry,1537
MARTIN COUNTY SHERIFF (DEM),Marvin Hilliard,1636
MARTIN COUNTY SHERIFF (DEM),Tim Manning,2622
MCDOWELL COUNTY BOARD OF COMMISSIONERS (REP),David Nelson Walker,1035
MCDOWELL COUNTY BOARD OF COMMISSIONERS (REP),Matthew Crawford,1070
MCDOWELL COUNTY BOARD OF COMMISSIONERS (REP),Michael Seay,581
MCDOWELL COUNTY BOARD OF COMMISSIONERS (REP),Tony G. Brown,1059
MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Ella Scarborough,32996
MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Gerenda Davis,9610
MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Jamie Hildreth,10987
MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Patricia (Pat) Cotham,37868
MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Ray McKinnon,20923
MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Tigress Sydney Acute McDaniel,4626
MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Trevor M. Fuller,33889
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Angela G. Edwards,1807
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Vilma Leake,7932
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Angela R. Ambroise,2703
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),George (Giovanni) Dortche,412
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),George Dunlap,6929
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Leigh Altman,3676
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Mark Jerrell,4048
MECKLENBURG COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Queen Thompson,2194
MECKLENBURG COUNTY SHERIFF (DEM),Antoine M. Ensley,15712
MECKLENBURG COUNTY SHERIFF (DEM),Garry L. McFadden,29840
MECKLENBURG COUNTY SHERIFF (DEM),Irwin Carmichael,11648
MITCHELL COUNTY BOARD OF COMMISSIONERS (REP),Jeff Harding,1115
MITCHELL COUNTY BOARD OF COMMISSIONERS (REP),Ken W. Hollifield,680
MITCHELL COUNTY BOARD OF COMMISSIONERS (REP),Matthew (Vern) Grindstaff,1279
MITCHELL COUNTY BOARD OF COMMISSIONERS (REP),Steve Pitman,1333
MONTGOMERY COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Dorothy (Dottie) Robinson,1009
MONTGOMERY COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Grant Hinson,744
MONTGOMERY COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Sabrena Conrad,845
MONTGOMERY COUNTY SHERIFF (DEM),David Kime,263
MONTGOMERY COUNTY SHERIFF (DEM),Johnny Smith,152
MONTGOMERY COUNTY SHERIFF (DEM),Roger Roberts,1547
MONTGOMERY COUNTY SHERIFF (REP),Chris Watkins,819
MONTGOMERY COUNTY SHERIFF (REP),Terry Wells,360
MOORE COUNTY BOARD OF COMMISSIONERS DISTRICT III (REP),Andy English,3685
MOORE COUNTY BOARD OF COMMISSIONERS DISTRICT III (REP),Otis Ritter,6322
