contest_name,choice,sum_total_votes
MOORE COUNTY SHERIFF (REP),Neil Godfrey,5121
MOORE COUNTY SHERIFF (REP),Ronald Alan (Ronnie) Fields,6583
Maysville Fire Tax Election,Against,21
Maysville Fire Tax Election,In favor of,38
Mixed Beverage Election,AGAINST,1416
Mixed Beverage Election,FOR,1752
NC HOUSE OF REPRESENTATIVES DISTRICT 001 (REP),Candice Hunter,1612
NC HOUSE OF REPRESENTATIVES DISTRICT 001 (REP),Edward C. Goodwin,1980
NC HOUSE OF REPRESENTATIVES DISTRICT 002 (DEM),Darryl D. Moss,3653
NC HOUSE OF REPRESENTATIVES DISTRICT 002 (DEM),Dora P. Bullock,1509
NC HOUSE OF REPRESENTATIVES DISTRICT 002 (REP),Jim McIlroy,341
NC HOUSE OF REPRESENTATIVES DISTRICT 002 (REP),Larry Yarborough,1513
NC HOUSE OF REPRESENTATIVES DISTRICT 003 (DEM),Barbara Lee,2447
NC HOUSE OF REPRESENTATIVES DISTRICT 003 (DEM),Charles Dudley,1170
NC HOUSE OF REPRESENTATIVES DISTRICT 003 (REP),Eric Queen,2198
NC HOUSE OF REPRESENTATIVES DISTRICT 003 (REP),Michael Speciale,2942
NC HOUSE OF REPRESENTATIVES DISTRICT 004 (DEM),Da'Quan Marcell Love,2440
NC HOUSE OF REPRESENTATIVES DISTRICT 004 (DEM),William Vann,1803
NC HOUSE OF REPRESENTATIVES DISTRICT 004 (REP),Jimmy Dixon,2749
NC HOUSE OF REPRESENTATIVES DISTRICT 004 (REP),Nathan Ray Riggs,534
NC HOUSE OF REPRESENTATIVES DISTRICT 006 (REP),Beverly Boswell,3202
NC HOUSE OF REPRESENTATIVES DISTRICT 006 (REP),Bobby Hanig,3613
NC HOUSE OF REPRESENTATIVES DISTRICT 007 (REP),Glen Bradley,919
NC HOUSE OF REPRESENTATIVES DISTRICT 007 (REP),Lisa Stone Barnes,2203
NC HOUSE OF REPRESENTATIVES DISTRICT 008 (DEM),Ernest T. Reeves,792
NC HOUSE OF REPRESENTATIVES DISTRICT 008 (DEM),Kandie D. Smith,2761
NC HOUSE OF REPRESENTATIVES DISTRICT 008 (DEM),Mildred Atkinson Council,1975
NC HOUSE OF REPRESENTATIVES DISTRICT 011 (DEM),Allison Dahle,4489
NC HOUSE OF REPRESENTATIVES DISTRICT 011 (DEM),Duane Hall,1741
NC HOUSE OF REPRESENTATIVES DISTRICT 011 (DEM),Heather Metour,326
NC HOUSE OF REPRESENTATIVES DISTRICT 011 (REP),Shawn Michael Hamilton,448
NC HOUSE OF REPRESENTATIVES DISTRICT 011 (REP),Tyler Brooks,833
NC HOUSE OF REPRESENTATIVES DISTRICT 013 (REP),Blake Beadle,1863
NC HOUSE OF REPRESENTATIVES DISTRICT 013 (REP),Patricia (Pat) McElraft,5744
NC HOUSE OF REPRESENTATIVES DISTRICT 014 (REP),George G. Cleveland,2106
NC HOUSE OF REPRESENTATIVES DISTRICT 014 (REP),Joseph R. McLaughlin,1900
NC HOUSE OF REPRESENTATIVES DISTRICT 017 (REP),Frank Iler,3160
NC HOUSE OF REPRESENTATIVES DISTRICT 017 (REP),Patricia (Pat) Sykes,2003
NC HOUSE OF REPRESENTATIVES DISTRICT 019 (REP),Hunter Ford,815
NC HOUSE OF REPRESENTATIVES DISTRICT 019 (REP),"Ted Davis, Jr.",1697
NC HOUSE OF REPRESENTATIVES DISTRICT 020 (DEM),Gary K. Shipman,1984
NC HOUSE OF REPRESENTATIVES DISTRICT 020 (DEM),John Bauer,325
NC HOUSE OF REPRESENTATIVES DISTRICT 020 (DEM),Leslie Cohen,2098
NC HOUSE OF REPRESENTATIVES DISTRICT 021 (DEM),Eugene Pearsall,1329
NC HOUSE OF REPRESENTATIVES DISTRICT 021 (DEM),Raymond Smith,1509
NC HOUSE OF REPRESENTATIVES DISTRICT 022 (DEM),Lawrence A. Aycock,2189
NC HOUSE OF REPRESENTATIVES DISTRICT 022 (DEM),Martin (Tony) Denning,2851
NC HOUSE OF REPRESENTATIVES DISTRICT 027 (DEM),"Franklin D. Williams, Jr.",5692
NC HOUSE OF REPRESENTATIVES DISTRICT 027 (DEM),Michael H. Wray,7295
NC HOUSE OF REPRESENTATIVES DISTRICT 033 (DEM),Antoine Marshall,1434
NC HOUSE OF REPRESENTATIVES DISTRICT 033 (DEM),Rosa U. Gill,3493
NC HOUSE OF REPRESENTATIVES DISTRICT 033 (DEM),Shirley E. Hicks,870
NC HOUSE OF REPRESENTATIVES DISTRICT 035 (DEM),Adam B. Wright,876
NC HOUSE OF REPRESENTATIVES DISTRICT 035 (DEM),Terence Everitt,3904
NC HOUSE OF REPRESENTATIVES DISTRICT 035 (REP),Chris Malone,1640
NC HOUSE OF REPRESENTATIVES DISTRICT 035 (REP),Isaac Burke,1390
NC HOUSE OF REPRESENTATIVES DISTRICT 043 (DEM),Elmer Floyd,3880
NC HOUSE OF REPRESENTATIVES DISTRICT 043 (DEM),Prince Christian,131
NC HOUSE OF REPRESENTATIVES DISTRICT 043 (DEM),Theresa Gale,889
NC HOUSE OF REPRESENTATIVES DISTRICT 044 (REP),Linda Devore,1528
NC HOUSE OF REPRESENTATIVES DISTRICT 044 (REP),Patrick Petsche,752
NC HOUSE OF REPRESENTATIVES DISTRICT 047 (REP),Jarrod Lowery,569
NC HOUSE OF REPRESENTATIVES DISTRICT 047 (REP),Tom Norton,383
NC HOUSE OF REPRESENTATIVES DISTRICT 048 (REP),John W. Imbaratto,447
NC HOUSE OF REPRESENTATIVES DISTRICT 048 (REP),Russell Walker,823
NC HOUSE OF REPRESENTATIVES DISTRICT 052 (REP),Jamie Boles,6101
NC HOUSE OF REPRESENTATIVES DISTRICT 052 (REP),Ken Byrd,3999
NC HOUSE OF REPRESENTATIVES DISTRICT 053 (DEM),Alan Longman,463
NC HOUSE OF REPRESENTATIVES DISTRICT 053 (DEM),Richard Chapman,1627
NC HOUSE OF REPRESENTATIVES DISTRICT 058 (DEM),Amos Quick,4145
NC HOUSE OF REPRESENTATIVES DISTRICT 058 (DEM),Katelyn (Kate) Flippen,1024
NC HOUSE OF REPRESENTATIVES DISTRICT 059 (REP),Jon Hardister,2687
NC HOUSE OF REPRESENTATIVES DISTRICT 059 (REP),Karen C. Albright,206
NC HOUSE OF REPRESENTATIVES DISTRICT 059 (REP),Mark McDaniel,1009
NC HOUSE OF REPRESENTATIVES DISTRICT 064 (DEM),Cathy Von Hassel-Davies,1117
NC HOUSE OF REPRESENTATIVES DISTRICT 064 (DEM),Elliott Lynch,987
NC HOUSE OF REPRESENTATIVES DISTRICT 065 (DEM),Michael H. (Mike) Lee,1387
NC HOUSE OF REPRESENTATIVES DISTRICT 065 (DEM),Wally White,1350
NC HOUSE OF REPRESENTATIVES DISTRICT 067 (REP),Justin P. Burr,3861
NC HOUSE OF REPRESENTATIVES DISTRICT 067 (REP),Wayne Sasser,4927
NC HOUSE OF REPRESENTATIVES DISTRICT 079 (DEM),Bryson Kiel Jones,1444
NC HOUSE OF REPRESENTATIVES DISTRICT 079 (DEM),Jerry E. Langley,3307
NC HOUSE OF REPRESENTATIVES DISTRICT 079 (REP),Jim Chesnutt,1173
NC HOUSE OF REPRESENTATIVES DISTRICT 079 (REP),Keith Kidwell,4170
NC HOUSE OF REPRESENTATIVES DISTRICT 080 (REP),Roger Younts,3057
NC HOUSE OF REPRESENTATIVES DISTRICT 080 (REP),Steve Jarvis,6284
NC HOUSE OF REPRESENTATIVES DISTRICT 081 (REP),Eric S. Osborne,2809
NC HOUSE OF REPRESENTATIVES DISTRICT 081 (REP),Larry W. Potts,7613
NC HOUSE OF REPRESENTATIVES DISTRICT 083 (DEM),Earle Schecter,324
NC HOUSE OF REPRESENTATIVES DISTRICT 083 (DEM),Gail Young,1044
NC HOUSE OF REPRESENTATIVES DISTRICT 083 (DEM),Senah Andrews,1020
NC HOUSE OF REPRESENTATIVES DISTRICT 083 (REP),Larry G. Pittman,2590
NC HOUSE OF REPRESENTATIVES DISTRICT 083 (REP),Michael Anderson,1482
NC HOUSE OF REPRESENTATIVES DISTRICT 086 (DEM),Robert Griner,400
NC HOUSE OF REPRESENTATIVES DISTRICT 086 (DEM),Tim Barnsback,1318
NC HOUSE OF REPRESENTATIVES DISTRICT 088 (REP),Benton Blaine,264
NC HOUSE OF REPRESENTATIVES DISTRICT 088 (REP),Ty Turner,432
NC HOUSE OF REPRESENTATIVES DISTRICT 090 (REP),Allen Poindexter,2027
NC HOUSE OF REPRESENTATIVES DISTRICT 090 (REP),Sarah Stevens,4038
NC HOUSE OF REPRESENTATIVES DISTRICT 093 (REP),Jonathan C. Jordan,4557
NC HOUSE OF REPRESENTATIVES DISTRICT 093 (REP),Robert Block,1244
NC HOUSE OF REPRESENTATIVES DISTRICT 096 (REP),Jay Adams,6005
NC HOUSE OF REPRESENTATIVES DISTRICT 096 (REP),Taylor G. Huffman,2610
NC HOUSE OF REPRESENTATIVES DISTRICT 097 (REP),Jason R. Saine,6890
NC HOUSE OF REPRESENTATIVES DISTRICT 097 (REP),Nic Haag,1404
NC HOUSE OF REPRESENTATIVES DISTRICT 098 (DEM),Branden Rosenlieb,348
NC HOUSE OF REPRESENTATIVES DISTRICT 098 (DEM),Christy Clark,3258
NC HOUSE OF REPRESENTATIVES DISTRICT 099 (DEM),Jackson Pethtal,178
NC HOUSE OF REPRESENTATIVES DISTRICT 099 (DEM),Nasif Majeed,3006
NC HOUSE OF REPRESENTATIVES DISTRICT 099 (DEM),Priscilla (PJ) Johnson,1184
NC HOUSE OF REPRESENTATIVES DISTRICT 099 (DEM),Rodney W. Moore,873
NC HOUSE OF REPRESENTATIVES DISTRICT 101 (DEM),Carolyn Logan,2571
NC HOUSE OF REPRESENTATIVES DISTRICT 101 (DEM),Chance Harris,741
NC HOUSE OF REPRESENTATIVES DISTRICT 101 (DEM),Lucille Puckett,1462
NC HOUSE OF REPRESENTATIVES DISTRICT 101 (DEM),Mr. Gregory J. Miller,372
NC HOUSE OF REPRESENTATIVES DISTRICT 102 (DEM),Becky Carney,4346
NC HOUSE OF REPRESENTATIVES DISTRICT 102 (DEM),Josh Jarrett,1004
NC HOUSE OF REPRESENTATIVES DISTRICT 105 (DEM),Ayoub Ouederni,937
NC HOUSE OF REPRESENTATIVES DISTRICT 105 (DEM),Wesley Harris,2240
NC HOUSE OF REPRESENTATIVES DISTRICT 106 (DEM),Blanche Penn,504
NC HOUSE OF REPRESENTATIVES DISTRICT 106 (DEM),Carla Cunningham,4026
NC HOUSE OF REPRESENTATIVES DISTRICT 110 (REP),Charlene High,1263
NC HOUSE OF REPRESENTATIVES DISTRICT 110 (REP),Kelly E. Hastings,2031
NC HOUSE OF REPRESENTATIVES DISTRICT 115 (REP),Amy Evans,1066
NC HOUSE OF REPRESENTATIVES DISTRICT 115 (REP),Nathan West,986
NC STATE SENATE DISTRICT 01 (REP),Bob Steinburg,6765
NC STATE SENATE DISTRICT 01 (REP),Clark Twiddy,4896
NC STATE SENATE DISTRICT 02 (DEM),Dorothea D. White,3858
NC STATE SENATE DISTRICT 02 (DEM),Ginger Garner,3938
NC STATE SENATE DISTRICT 02 (REP),Lisa Oakley,3509
NC STATE SENATE DISTRICT 02 (REP),Norman Sanderson,11282
NC STATE SENATE DISTRICT 05 (DEM),Don Davis,10926
NC STATE SENATE DISTRICT 05 (DEM),Lonnie Carraway,3209
NC STATE SENATE DISTRICT 05 (REP),Kimberly Robb,4167
NC STATE SENATE DISTRICT 05 (REP),Tony Moore,3860
NC STATE SENATE DISTRICT 08 (LIB),Anthony H. Mascolo,53
NC STATE SENATE DISTRICT 08 (LIB),Randolph W. (Randy) Crow,38
NC STATE SENATE DISTRICT 13 (DEM),Bobbie Jacobs-Ghaffar,6511
NC STATE SENATE DISTRICT 13 (DEM),John Campbell,14585
NC STATE SENATE DISTRICT 16 (DEM),Luis Toledo,6842
NC STATE SENATE DISTRICT 16 (DEM),Wiley Nickel,8542
NC STATE SENATE DISTRICT 19 (DEM),Clarence E. Donaldson,3132
NC STATE SENATE DISTRICT 19 (DEM),Kirk DeViere,5248
NC STATE SENATE DISTRICT 21 (DEM),Ben Clark,6484
NC STATE SENATE DISTRICT 21 (DEM),Naveed Aziz,5169
NC STATE SENATE DISTRICT 25 (REP),Michelle Lexo,5683
NC STATE SENATE DISTRICT 25 (REP),Tom McInnis,8880
NC STATE SENATE DISTRICT 29 (REP),Eddie Gallimore,11627
NC STATE SENATE DISTRICT 29 (REP),Sam Watford,9323
NC STATE SENATE DISTRICT 31 (REP),Dan Barrett,6165
NC STATE SENATE DISTRICT 31 (REP),Joyce Krawiec,6391
NC STATE SENATE DISTRICT 31 (REP),Peter Antinozzi,591
NC STATE SENATE DISTRICT 33 (REP),Bill Sorenson,5577
NC STATE SENATE DISTRICT 33 (REP),Carl Ford,8388
NC STATE SENATE DISTRICT 34 (DEM),Beniah McMiller,1479
NC STATE SENATE DISTRICT 34 (DEM),Lisaney Kong,654
NC STATE SENATE DISTRICT 34 (DEM),William Stinson,1265
NC STATE SENATE DISTRICT 34 (REP),A. J. Daoud,1513
NC STATE SENATE DISTRICT 34 (REP),Robert (Bob) Rucho,3622
NC STATE SENATE DISTRICT 34 (REP),Vickie Sawyer,4782
NC STATE SENATE DISTRICT 34 (REP),William (Bill) Howell,994
NC STATE SENATE DISTRICT 38 (DEM),Joel Ford,5396
NC STATE SENATE DISTRICT 38 (DEM),Mujtaba A. Mohammed,6884
NC STATE SENATE DISTRICT 38 (DEM),Roderick Davis,625
NC STATE SENATE DISTRICT 38 (DEM),Tim Wallis,346
NC STATE SENATE DISTRICT 39 (DEM),Ann Harlan,5214
NC STATE SENATE DISTRICT 39 (DEM),Chad Stachowicz,5219
NC STATE SENATE DISTRICT 39 (REP),Beth Monaghan,3532
NC STATE SENATE DISTRICT 39 (REP),Dan Bishop,8743
NC STATE SENATE DISTRICT 42 (REP),Andy Wells,9000
NC STATE SENATE DISTRICT 42 (REP),Dustin Long,1234
NC STATE SENATE DISTRICT 42 (REP),Mark Hollo,6495
NC STATE SENATE DISTRICT 42 (REP),Ryan Huffman,2232
NC STATE SENATE DISTRICT 44 (REP),David L. Curtis,4531
NC STATE SENATE DISTRICT 44 (REP),Martin Oakes,2358
NC STATE SENATE DISTRICT 44 (REP),Ted Alexander,5504
NC STATE SENATE DISTRICT 45 (REP),Deanna Ballard,8381
NC STATE SENATE DISTRICT 45 (REP),Shirley Blackburn Randleman,7240
NC STATE SENATE DISTRICT 47 (DEM),Cheryl D. Swofford,2463
NC STATE SENATE DISTRICT 47 (DEM),Christopher H. Rumfelt,1134
NC STATE SENATE DISTRICT 47 (DEM),David Wheeler,4250
NEW HANOVER COUNTY BOARD OF COMMISSIONERS (DEM),James Middleton,4266
NEW HANOVER COUNTY BOARD OF COMMISSIONERS (DEM),Julia Olson-Boseman,7847
NEW HANOVER COUNTY BOARD OF COMMISSIONERS (DEM),Rob Zapple,7187
NEW HANOVER COUNTY BOARD OF EDUCATION (REP),Bill Rivenbark,3199
NEW HANOVER COUNTY BOARD OF EDUCATION (REP),Bruce Shell,2884
NEW HANOVER COUNTY BOARD OF EDUCATION (REP),Christopher Morgan,1784
NEW HANOVER COUNTY BOARD OF EDUCATION (REP),Don Hayes,2721
NEW HANOVER COUNTY BOARD OF EDUCATION (REP),Edward Higgins,2202
NEW HANOVER COUNTY BOARD OF EDUCATION (REP),Frank Christopher Meares,1984
NEW HANOVER COUNTY BOARD OF EDUCATION (REP),Janice Cavenaugh,2630
NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),"Chester J. Deloatch, Sr.",1174
NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Glenn Fleetwood,929
NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Nicole J. Boone,1989
NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Joyce V. Buffaloe,2212
NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Robert V. Carter,1683
NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Fannie P. Greene,1752
NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Kelvin Edwards,2233
NORTHAMPTON COUNTY BOARD OF EDUCATION,Catherine Moody,2070
NORTHAMPTON COUNTY BOARD OF EDUCATION,Lucy M. Edwards,2489
NORTHAMPTON COUNTY BOARD OF EDUCATION,Marjorie Edwards,2069
NORTHAMPTON COUNTY BOARD OF EDUCATION,Rhonda Taylor,2460
NORTHAMPTON COUNTY BOARD OF EDUCATION,Shanee Jacobs Smith,779
NORTHAMPTON COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),72
NORTHAMPTON COUNTY SHERIFF (DEM),Brenda Edwards Burnette,1291
NORTHAMPTON COUNTY SHERIFF (DEM),Jack Smith,2983
ONSLOW COUNTY BOARD OF COMMISSIONERS (REP),Jackson Hawley,1816
ONSLOW COUNTY BOARD OF COMMISSIONERS (REP),Reva R. Sullivan,3171
ONSLOW COUNTY BOARD OF COMMISSIONERS (REP),Tim Foster,5480
ONSLOW COUNTY BOARD OF COMMISSIONERS (REP),William Shanahan,4590
ONSLOW COUNTY BOARD OF EDUCATION (REP),Bill Lanier,4980
ONSLOW COUNTY BOARD OF EDUCATION (REP),Bob Williams,4936
ONSLOW COUNTY BOARD OF EDUCATION (REP),Jeff Hudson,6748
ONSLOW COUNTY BOARD OF EDUCATION (REP),Ken Reddic,4841
ONSLOW COUNTY SHERIFF (REP),Boyd Brown,2001
ONSLOW COUNTY SHERIFF (REP),Hans J. Miller,6699
ONSLOW COUNTY SHERIFF (REP),Walter J. Scott,743
ORANGE COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Brian Crawford,5199
ORANGE COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Noah Oswald,1825
ORANGE COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Sally Greene,11168
ORANGE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Earl McKee,5844
ORANGE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Tommy T. McNeill,1348
ORANGE COUNTY BOARD OF EDUCATION,Brenda Stephens,6114
ORANGE COUNTY BOARD OF EDUCATION,Hawkeye Aguilar,796
ORANGE COUNTY BOARD OF EDUCATION,Hillary MacKenzie,5163
ORANGE COUNTY BOARD OF EDUCATION,James Needham,935
ORANGE COUNTY BOARD OF EDUCATION,Jessica Aguilar,1653
ORANGE COUNTY BOARD OF EDUCATION,Lisa Knapp (Write-In),13
ORANGE COUNTY BOARD OF EDUCATION,Mike O'Hagerty,966
ORANGE COUNTY BOARD OF EDUCATION,Sarah Smylie,5439
ORANGE COUNTY BOARD OF EDUCATION,Tom Carr (Write-In),6
ORANGE COUNTY BOARD OF EDUCATION,Will Atherton,4810
ORANGE COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),109
ORANGE COUNTY CLERK OF SUPERIOR COURT (DEM),James C. (Jamie) Stanford,8331
ORANGE COUNTY CLERK OF SUPERIOR COURT (DEM),Mark Kleinschmidt,9925
ORANGE COUNTY SHERIFF (DEM),Charles Blackwood,14177
ORANGE COUNTY SHERIFF (DEM),Tony White,4284
One Quarter Cent Sales Tax,AGAINST,10143
One Quarter Cent Sales Tax,Against,18375
One Quarter Cent Sales Tax,FOR,14243
One Quarter Cent Sales Tax,For,17236
One Quarter Cent Sales Tax,No,1512
One Quarter Cent Sales Tax,Yes,906
PAMLICO COUNTY BOARD OF EDUCATION AT-LARGE,Carinna A. Smith,933
PAMLICO COUNTY BOARD OF EDUCATION AT-LARGE,Judy Lee Humphries,1222
PAMLICO COUNTY BOARD OF EDUCATION AT-LARGE,"Paul J. Delamar, Jr.",1375
PAMLICO COUNTY BOARD OF EDUCATION AT-LARGE,Write-In (Miscellaneous),20
PAMLICO COUNTY BOARD OF EDUCATION DISTRICT 4,Helen J. Robinson,308
PAMLICO COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),5
PASQUOTANK COUNTY SHERIFF (DEM),Brent McKecuen,1290
PASQUOTANK COUNTY SHERIFF (DEM),Eddie Graham,1326
PASQUOTANK COUNTY SHERIFF (DEM),Tobie McPherson,275
PASQUOTANK COUNTY SHERIFF (DEM),Todd Wagner,416
PASQUOTANK COUNTY SHERIFF (REP),Bill Ward,762
PASQUOTANK COUNTY SHERIFF (REP),Tommy S. Wooten II,885
PATHWAY REFERENDUM,AGAINST,10
PATHWAY REFERENDUM,FOR,157
PENDER COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Dorothy Royal,968
PENDER COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Morgan A. Lashaw,1009
PENDER COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),David Fallin,1926
PENDER COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),George R. Brown,1962
PENDER COUNTY BOARD OF EDUCATION DISTRICT 4 (DEM),June M. Robbins,1254
PENDER COUNTY BOARD OF EDUCATION DISTRICT 4 (DEM),Reginald Terrell Moore,824
PENDER COUNTY CLERK OF SUPERIOR COURT (REP),Elizabeth H. Craver,3014
PENDER COUNTY CLERK OF SUPERIOR COURT (REP),Susan Rooks Lunsford,1170
PENDER COUNTY SHERIFF (REP),Alan Cutler,2183
PENDER COUNTY SHERIFF (REP),Chester Ward,531
PENDER COUNTY SHERIFF (REP),Jason Spivey,189
PENDER COUNTY SHERIFF (REP),Jimmie Stokes,82
PENDER COUNTY SHERIFF (REP),Joe Cina,354
PENDER COUNTY SHERIFF (REP),Larry Brown,255
PENDER COUNTY SHERIFF (REP),Randy Burton,766
PERSON COUNTY BOARD OF COMMISSIONERS (REP),"David Newell, Sr.",602
PERSON COUNTY BOARD OF COMMISSIONERS (REP),Derrick Sims,496
PERSON COUNTY BOARD OF COMMISSIONERS (REP),Kyle W. Puryear,694
PERSON COUNTY SHERIFF (DEM),Dewey E. Jones,2230
PERSON COUNTY SHERIFF (DEM),Todd (T.O.) Dunn,604
PITT COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),James Tripp,742
PITT COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Mary Perkins Williams,1094
PITT COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Cynthia Marcus,312
PITT COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Richard Allsbrook,967
PITT COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Alex Albright,1239
PITT COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Henry Williams II,982
PITT COUNTY SHERIFF (DEM),Bobby Murphy,907
PITT COUNTY SHERIFF (DEM),Paula Dance,8145
PITT COUNTY SHERIFF (DEM),Tony Williams,3059
PITT COUNTY SHERIFF (REP),Gary Weaver,5150
PITT COUNTY SHERIFF (REP),Randall (Randy) Mitchell,1633
POLK COUNTY SHERIFF (DEM),BJ Bayne,1148
POLK COUNTY SHERIFF (DEM),Ronnie Smith,345
POLK COUNTY SHERIFF (REP),M. Darryl Bailey,713
POLK COUNTY SHERIFF (REP),Tim Wright,748
RANDOLPH COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Darrell Frye,7337
RANDOLPH COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Jake Summey,4810
RANDOLPH COUNTY SHERIFF (LIB),Adam Brooks,38
RANDOLPH COUNTY SHERIFF (LIB),Eric Hicks,264
RANDOLPH COUNTY SHERIFF (REP),Greg Seabolt,6523
RANDOLPH COUNTY SHERIFF (REP),Robert Graves,6278
RICHMOND COUNTY BOARD OF COMMISSIONERS (DEM),Don M Bryant,1816
RICHMOND COUNTY BOARD OF COMMISSIONERS (DEM),Herbie Long,1660
RICHMOND COUNTY BOARD OF COMMISSIONERS (DEM),Peggy Covington,1200
RICHMOND COUNTY BOARD OF COMMISSIONERS (DEM),Rick Watkins,1950
RICHMOND COUNTY BOARD OF COMMISSIONERS (DEM),Tavares Bostic,2266
RICHMOND COUNTY BOARD OF EDUCATION,Bobbie Sue Ormsby,2817
RICHMOND COUNTY BOARD OF EDUCATION,Daryl Mason,2598
RICHMOND COUNTY BOARD OF EDUCATION,Irene Pittman Aiken,2072
RICHMOND COUNTY BOARD OF EDUCATION,J.L. McCullers,949
RICHMOND COUNTY BOARD OF EDUCATION,Joe Richardson,2489
RICHMOND COUNTY BOARD OF EDUCATION,Pat Campbell,2161
RICHMOND COUNTY BOARD OF EDUCATION,Statha Gilliam Osborne,2064
