contest_name,choice,sum_total_votes
RICHMOND COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),64
ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Berlester Campbell,1533
ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Hubert Sealey,785
ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Nick Evans,723
ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Faline Locklear Dial,1372
ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Harbert Eddie Moore,1154
ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 6 (REP),David Edge,312
ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 6 (REP),Ronald G. Hammonds,171
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 2,Brenda S. Fairley-Ferebee,1392
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 2,"Carl (C.H.) Lovette, Jr.",338
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 2,"Carl C.H. Lovette, Jr.",0
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 2,Chandra Short,255
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 2,LaKishia Spaulding Sweat,262
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 2,Melissa Davis Ocean,790
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 2,Write-In (Miscellaneous),11
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 3,Linda O. Emanuel,1043
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 3,Peggy Wilkins Chavis,712
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 3,Severeo Kerns,481
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),21
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 6,Brice Altman,239
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 6,Lynn Locklear,621
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 6,Mike Smith,1149
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 6,Write-In (Miscellaneous),5
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 8,Cat Gaines,666
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 8,Dwayne Smith,1628
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 8,Richard Monroe,1447
ROBESON COUNTY BOARD OF EDUCATION DISTRICT 8,Write-In (Miscellaneous),43
ROBESON COUNTY SHERIFF (DEM),Burnis Wilkins,8498
ROBESON COUNTY SHERIFF (DEM),George Kenworthy,540
ROBESON COUNTY SHERIFF (DEM),James Jones,1500
ROBESON COUNTY SHERIFF (DEM),Randy Graham,2555
ROBESON COUNTY SHERIFF (DEM),Ronnie Patterson,7179
ROCKINGHAM COUNTY BOARD OF COMMISSIONERS (REP),Charlie Hall,3786
ROCKINGHAM COUNTY BOARD OF COMMISSIONERS (REP),Craig Travis,3160
ROCKINGHAM COUNTY BOARD OF COMMISSIONERS (REP),Keith (Zero) Mabe,1663
ROCKINGHAM COUNTY BOARD OF COMMISSIONERS (REP),Tyres Tatum,2106
ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),Corey Brannock,2288
ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),Doug Isley,3226
ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),Kimberly W. McMichael,3646
ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),Paula Harvell Rakestraw,3179
ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),Ron Price,2653
ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),"William (Billy) Littrell, Jr.",743
ROCKINGHAM COUNTY SHERIFF (REP),Earl Estes,879
ROCKINGHAM COUNTY SHERIFF (REP),"John H. Ferrell, Jr.",335
ROCKINGHAM COUNTY SHERIFF (REP),Sam Page,4987
ROWAN COUNTY BOARD OF COMMISSIONERS (REP),Craig Pierce,2278
ROWAN COUNTY BOARD OF COMMISSIONERS (REP),Gregory C. Edds,5659
ROWAN COUNTY BOARD OF COMMISSIONERS (REP),James C. Greene,5110
ROWAN COUNTY BOARD OF COMMISSIONERS (REP),Jim Sides,2211
ROWAN COUNTY BOARD OF COMMISSIONERS (REP),Judy Klusman,4685
ROWAN COUNTY BOARD OF COMMISSIONERS (REP),Michael Julian,2208
RUTHERFORD COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),Brandi Edney Nanney,2488
RUTHERFORD COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),Drew Radford,1172
RUTHERFORD COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),R. A. (Rick) Henson,2569
RUTHERFORD COUNTY SHERIFF (REP),Chris Francis,4225
RUTHERFORD COUNTY SHERIFF (REP),Joey Brandle,292
RUTHERFORD COUNTY SHERIFF (REP),Steve (Theo) Theodoropoulos,443
RUTHERFORD COUNTY SHERIFF (REP),Wayne Guffey,2014
Rockingham County Sales and Use Tax,Against,4259
Rockingham County Sales and Use Tax,For,5311
SAMPSON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),"Thaddeus L. Godwin, Sr.",623
SAMPSON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Willie R. Moore,250
SAMPSON COUNTY BOARD OF EDUCATION,Bradley Jackson,497
SAMPSON COUNTY BOARD OF EDUCATION,Daryll Warren,1025
SAMPSON COUNTY BOARD OF EDUCATION,E. Sonya Powell,899
SAMPSON COUNTY BOARD OF EDUCATION,Janice J. Williams,393
SAMPSON COUNTY BOARD OF EDUCATION,Kim Schmidlin,738
SAMPSON COUNTY BOARD OF EDUCATION,"Robert M. Burley, Jr.",578
SAMPSON COUNTY BOARD OF EDUCATION,Shea Grantham Autry,322
SAMPSON COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),7
SAMPSON COUNTY CLERK OF SUPERIOR COURT (DEM),Brent Baggett,350
SAMPSON COUNTY CLERK OF SUPERIOR COURT (DEM),Jerry J. Bradshaw,932
SAMPSON COUNTY CLERK OF SUPERIOR COURT (DEM),Tammy H. Grady,1740
SAMPSON COUNTY CLERK OF SUPERIOR COURT (REP),Barbara Moore,774
SAMPSON COUNTY CLERK OF SUPERIOR COURT (REP),Chris Driver,967
SAMPSON COUNTY CLERK OF SUPERIOR COURT (REP),Chris Fann,1001
SAMPSON COUNTY CLERK OF SUPERIOR COURT (REP),"Dwight S. Williams, Jr.",697
SAMPSON COUNTY SHERIFF (DEM),Freddie Butler,1790
SAMPSON COUNTY SHERIFF (DEM),Kemely Pickett,1229
SCOTLAND COUNTY BOARD OF COMMISSIONERS SPRING HILL TOWNSHIP (DEM),Betty Blue Gholston,1982
SCOTLAND COUNTY BOARD OF COMMISSIONERS SPRING HILL TOWNSHIP (DEM),Linda Tindall,1313
SCOTLAND COUNTY BOARD OF COMMISSIONERS STEWARTSVILLE TWP (DEM),Carol McCall,1678
SCOTLAND COUNTY BOARD OF COMMISSIONERS STEWARTSVILLE TWP (DEM),Guy McCook,1531
SCOTLAND COUNTY BOARD OF COMMISSIONERS STEWARTSVILLE TWP (DEM),Jeremy Baker,1260
SCOTLAND COUNTY BOARD OF COMMISSIONERS STEWARTSVILLE TWP (DEM),Matthew Block,1823
SCOTLAND COUNTY BOARD OF COMMISSIONERS STEWARTSVILLE TWP (DEM),Terence D. Williams,454
SCOTLAND COUNTY SHERIFF (DEM),John Martin,1863
SCOTLAND COUNTY SHERIFF (DEM),Mitch Johnson,1624
STANLY COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Jann Lowder,3294
STANLY COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Lane Furr,3684
STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Mike Barbee,3611
STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Scott Efird,3241
STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Bill Lawhon,4032
STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Joe Speight,2957
STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Joseph L. Burleson,3136
STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Tommy Jordan,3810
STANLY COUNTY BOARD OF EDUCATION AT-LARGE (REP),Anthony Graves,3996
STANLY COUNTY BOARD OF EDUCATION AT-LARGE (REP),Mitzi Webb,2755
STANLY COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),Jeff Chance,3566
STANLY COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),John Edwards,3338
STANLY COUNTY CLERK OF SUPERIOR COURT (REP),Michael Greene,1896
STANLY COUNTY CLERK OF SUPERIOR COURT (REP),Michael Huneycutt,5157
STANLY COUNTY SHERIFF (REP),George T. Burris,1942
STANLY COUNTY SHERIFF (REP),Jeff Crisco,3750
STANLY COUNTY SHERIFF (REP),Jonathan Barbee,540
STANLY COUNTY SHERIFF (REP),Rick Burris,811
STANLY COUNTY SHERIFF (REP),Tony Frick,293
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Allen Brown,304
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Andy Nickelston,1201
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Andy Stevens,461
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Boh Mabe,758
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Devin Parrish,305
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Ernest Lankford,1003
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Jamie East,302
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Jamie Yontz,1317
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Rick Morris,1238
STOKES COUNTY BOARD OF COMMISSIONERS (REP),Wayne Barneycastle,946
SURRY COUNTY BOARD OF COMMISSIONERS CENTRAL DISTRICT (REP),Gary Carson Tilley,1559
SURRY COUNTY BOARD OF COMMISSIONERS CENTRAL DISTRICT (REP),Mark A. Marion,2572
SURRY COUNTY BOARD OF COMMISSIONERS CENTRAL DISTRICT (REP),Tony Childs,563
SURRY COUNTY BOARD OF COMMISSIONERS CENTRAL DISTRICT (REP),Tony R. Tilley,942
SURRY COUNTY BOARD OF COMMISSIONERS MOUNT AIRY DISTRICT (REP),Bill Goins,3332
SURRY COUNTY BOARD OF COMMISSIONERS MOUNT AIRY DISTRICT (REP),Larry R. Phillips,2259
SURRY COUNTY BOARD OF EDUCATION DISTRICT 2,Mamie McKinney Sutphin,4138
SURRY COUNTY BOARD OF EDUCATION DISTRICT 2,R. D. Bingman,1732
SURRY COUNTY BOARD OF EDUCATION DISTRICT 2,Write-In (Miscellaneous),24
SURRY COUNTY BOARD OF EDUCATION DISTRICT 3,Earlie Coe,5533
SURRY COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),42
SURRY COUNTY BOARD OF EDUCATION DISTRICT 4,Terri Mosley,5710
SURRY COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),22
SURRY COUNTY CLERK OF SUPERIOR COURT (DEM),John R. Snow,1001
SURRY COUNTY CLERK OF SUPERIOR COURT (DEM),Kim Goings Thomas,1310
SURRY COUNTY CLERK OF SUPERIOR COURT (REP),L. Neil Brendle,2942
SURRY COUNTY CLERK OF SUPERIOR COURT (REP),Teresa O'Dell,2737
SURRY COUNTY SHERIFF (REP),E. Vann Tate,1606
SURRY COUNTY SHERIFF (REP),Ervin Odum,366
SURRY COUNTY SHERIFF (REP),Jamie Goad,1552
SURRY COUNTY SHERIFF (REP),Steve C. Hiatt,2254
SWAIN COUNTY BOARD OF COMMISSIONERS CHAIRMAN (DEM),Ben Bushyhead,817
SWAIN COUNTY BOARD OF COMMISSIONERS CHAIRMAN (DEM),Phil Carson,561
SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (DEM),Danny Burns,920
SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (DEM),John S. Parton,755
SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (DEM),Wayne Dover,554
SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (REP),Holly Bowick,291
SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (REP),Kevin Seagle,276
SWAIN COUNTY BOARD OF COMMISSIONERS MEMBERS (REP),Vance W. Greene III,209
SWAIN COUNTY CLERK OF SUPERIOR COURT (DEM),Deborah Smith,439
SWAIN COUNTY CLERK OF SUPERIOR COURT (DEM),Misti Watson Jones,896
Sandhills Community College Bonds,NO,3993
Sandhills Community College Bonds,YES,13160
School Bonds,NO,3536
School Bonds,No,4301
School Bonds,YES,13665
School Bonds,Yes,9609
TOWN OF SHARPSBURG MAYOR,Randy Weaver,162
TOWN OF SHARPSBURG MAYOR,"Robert L. Williams, Jr.",169
TOWN OF SHARPSBURG MAYOR,Write-In (Miscellaneous),1
TRANSYLVANIA COUNTY BOARD OF COMMISSIONERS (REP),Danny Hein,1411
TRANSYLVANIA COUNTY BOARD OF COMMISSIONERS (REP),W. David Guice,1718
TRANSYLVANIA COUNTY BOARD OF COMMISSIONERS (REP),Will Cathey,1415
TRANSYLVANIA COUNTY CLERK OF SUPERIOR COURT (REP),Jason Robert Chappell,427
TRANSYLVANIA COUNTY CLERK OF SUPERIOR COURT (REP),Kristi B. Brown,2186
TYRRELL COUNTY SHERIFF (DEM),Joey Elliott,246
TYRRELL COUNTY SHERIFF (DEM),Nathan A. McPeak,208
TYRRELL COUNTY SHERIFF (DEM),R. Kevin Sawyer,360
UNION COUNTY BOARD OF COMMISSIONERS (REP),Anna Blood,5545
UNION COUNTY BOARD OF COMMISSIONERS (REP),Carl Lucas,1482
UNION COUNTY BOARD OF COMMISSIONERS (REP),Dennis Rape,5813
UNION COUNTY BOARD OF COMMISSIONERS (REP),Jeff Atkinson,5159
UNION COUNTY BOARD OF COMMISSIONERS (REP),Jerry B. Simpson,6950
UNION COUNTY BOARD OF COMMISSIONERS (REP),Stony Rushing,7077
UNION COUNTY BOARD OF COMMISSIONERS (REP),Travis Wilson,2800
UNION COUNTY BOARD OF EDUCATION DISTRICT 3 (REP),Gary Sides,1204
UNION COUNTY BOARD OF EDUCATION DISTRICT 3 (REP),Heather Craig Henage,733
UNION COUNTY SHERIFF (REP),Brian Crump,2342
UNION COUNTY SHERIFF (REP),Eddie Cathey,11185
US HOUSE OF REPRESENTATIVES DISTRICT 02 (DEM),Ken Romley,10684
US HOUSE OF REPRESENTATIVES DISTRICT 02 (DEM),Linda Coleman,18537
US HOUSE OF REPRESENTATIVES DISTRICT 02 (DEM),Wendy Ella May,3870
US HOUSE OF REPRESENTATIVES DISTRICT 02 (REP),Allen Chesser,5584
US HOUSE OF REPRESENTATIVES DISTRICT 02 (REP),George Holding,17910
US HOUSE OF REPRESENTATIVES DISTRICT 03 (REP),Phil Law,14273
US HOUSE OF REPRESENTATIVES DISTRICT 03 (REP),Scott Dacey,13390
US HOUSE OF REPRESENTATIVES DISTRICT 03 (REP),Walter B. Jones,20890
US HOUSE OF REPRESENTATIVES DISTRICT 04 (DEM),David Price,51989
US HOUSE OF REPRESENTATIVES DISTRICT 04 (DEM),Michelle Laws,11036
US HOUSE OF REPRESENTATIVES DISTRICT 04 (DEM),Richard L. Watkins,4341
US HOUSE OF REPRESENTATIVES DISTRICT 04 (LIB),Barbara Howe,523
US HOUSE OF REPRESENTATIVES DISTRICT 04 (LIB),Scerry Perry Whitlock,159
US HOUSE OF REPRESENTATIVES DISTRICT 05 (DEM),DD Adams,15441
US HOUSE OF REPRESENTATIVES DISTRICT 05 (DEM),Jenny Marshall,12938
US HOUSE OF REPRESENTATIVES DISTRICT 05 (REP),"Cortland J. Meader, Jr.",2052
US HOUSE OF REPRESENTATIVES DISTRICT 05 (REP),Dillon Gentry,5672
US HOUSE OF REPRESENTATIVES DISTRICT 05 (REP),Virginia Foxx,32537
US HOUSE OF REPRESENTATIVES DISTRICT 06 (DEM),Gerald Wong,7663
US HOUSE OF REPRESENTATIVES DISTRICT 06 (DEM),Ryan Watts,25883
US HOUSE OF REPRESENTATIVES DISTRICT 07 (DEM),Grayson Parker,10542
US HOUSE OF REPRESENTATIVES DISTRICT 07 (DEM),Kyle Horton,21403
US HOUSE OF REPRESENTATIVES DISTRICT 08 (DEM),Frank McNeill,15977
US HOUSE OF REPRESENTATIVES DISTRICT 08 (DEM),Marc Tiegel,5952
US HOUSE OF REPRESENTATIVES DISTRICT 08 (DEM),Scott Huffman,6550
US HOUSE OF REPRESENTATIVES DISTRICT 09 (DEM),Christian Cano,7844
US HOUSE OF REPRESENTATIVES DISTRICT 09 (DEM),Dan McCready,37844
US HOUSE OF REPRESENTATIVES DISTRICT 09 (REP),"Clarence W. Goins, Jr.",1862
US HOUSE OF REPRESENTATIVES DISTRICT 09 (REP),Mark Harris,17232
US HOUSE OF REPRESENTATIVES DISTRICT 09 (REP),Robert Pittenger,16421
US HOUSE OF REPRESENTATIVES DISTRICT 10 (REP),"Albert Lee Wiley, Jr.",615
US HOUSE OF REPRESENTATIVES DISTRICT 10 (REP),Gina Collias,6645
US HOUSE OF REPRESENTATIVES DISTRICT 10 (REP),Ira Roberts,1689
US HOUSE OF REPRESENTATIVES DISTRICT 10 (REP),Jeff Gregory,3714
US HOUSE OF REPRESENTATIVES DISTRICT 10 (REP),Patrick McHenry,34061
US HOUSE OF REPRESENTATIVES DISTRICT 10 (REP),Seth Blankenship,1430
US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM),D. Scott Donaldson,9369
US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM),Phillip G. Price,13438
US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM),Steve Woodsmall,10321
US HOUSE OF REPRESENTATIVES DISTRICT 11 (REP),Chuck Archerd,5621
US HOUSE OF REPRESENTATIVES DISTRICT 11 (REP),Mark Meadows,35540
US HOUSE OF REPRESENTATIVES DISTRICT 12 (DEM),Alma Adams,38719
US HOUSE OF REPRESENTATIVES DISTRICT 12 (DEM),Gabe Ortiz,1952
US HOUSE OF REPRESENTATIVES DISTRICT 12 (DEM),Keith Young,2538
US HOUSE OF REPRESENTATIVES DISTRICT 12 (DEM),Patrick Register,2066
US HOUSE OF REPRESENTATIVES DISTRICT 12 (REP),Carl Persson,1880
US HOUSE OF REPRESENTATIVES DISTRICT 12 (REP),Paul Bonham,2344
US HOUSE OF REPRESENTATIVES DISTRICT 12 (REP),Paul Wright,3211
US HOUSE OF REPRESENTATIVES DISTRICT 13 (DEM),Adam Coker,8289
US HOUSE OF REPRESENTATIVES DISTRICT 13 (DEM),Kathy Manning,19472
VANCE COUNTY BOARD OF EDUCATION DISTRICT 6 (DEM),Margaret A. Ellis,394
VANCE COUNTY BOARD OF EDUCATION DISTRICT 6 (DEM),Omega T. Perry,125
VANCE COUNTY BOARD OF EDUCATION DISTRICT 7 (DEM),Marcia Lynnette Allen,262
VANCE COUNTY BOARD OF EDUCATION DISTRICT 7 (DEM),Ruth McCune Hartness,579
VANCE COUNTY SHERIFF (DEM),Billy Ivan Gooch,1379
VANCE COUNTY SHERIFF (DEM),Curtis Rodney Brame,2646
VANCE COUNTY SHERIFF (DEM),Melissa Elliott,661
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Jeremiah Pierce,23237
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Sig Hutchinson,38322
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Lindy M. Brown,30132
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Matt Calabria,32165
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Erv Portman,23646
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Susan P. Evans,38543
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),James West,48622
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),"Robert Finch, Sr.",10226
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (DEM),John Burns,29509
WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (DEM),Vickie Adamson,31654
WARREN COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Bertadean Williams Baker,941
WARREN COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Sheilah Alston Miles,681
WARREN COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Wadie Cheek Ryan,380
WARREN COUNTY BOARD OF EDUCATION DISTRICT 1,"Henry L. Durham, Jr.",806
WARREN COUNTY BOARD OF EDUCATION DISTRICT 1,Ms. V. Lehman,1397
WARREN COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),3
WARREN COUNTY BOARD OF EDUCATION DISTRICT 2,Linda Byrd,872
WARREN COUNTY BOARD OF EDUCATION DISTRICT 2,Lynne Lassiter,500
WARREN COUNTY BOARD OF EDUCATION DISTRICT 2,Ulysses S. Ross,837
WARREN COUNTY BOARD OF EDUCATION DISTRICT 2,Write-In (Miscellaneous),4
WARREN COUNTY BOARD OF EDUCATION DISTRICT 4,Calvin Curtis Jones,348
WARREN COUNTY BOARD OF EDUCATION DISTRICT 4,Ebony Talley-Brame,945
WARREN COUNTY BOARD OF EDUCATION DISTRICT 4,Glenn Forsythe,470
WARREN COUNTY BOARD OF EDUCATION DISTRICT 4,Robert Moore,401
WARREN COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),4
WASHINGTON COUNTY BOARD OF EDUCATION AT-LARGE (DEM),Carlos Riddick,1073
WASHINGTON COUNTY BOARD OF EDUCATION AT-LARGE (DEM),Constance Garrett,922
WASHINGTON COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Jerry Phelps,1183
WASHINGTON COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),"John A. Tharps, Sr.",929
WASHINGTON COUNTY SHERIFF (DEM),James (Smiley) Ross,530
WASHINGTON COUNTY SHERIFF (DEM),Johnny Barnes,1386
WASHINGTON COUNTY SHERIFF (DEM),Marvin L. Franklin,263
WATAUGA COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),Allen Trivette,1148
WATAUGA COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),Tommy Sofield,1804
WATAUGA COUNTY SHERIFF (REP),David Searcy,2552
WATAUGA COUNTY SHERIFF (REP),Tim Holman,382
WAYNE COUNTY BOARD OF EDUCATION DISTRICT 6,Joe Brown,135
WAYNE COUNTY BOARD OF EDUCATION DISTRICT 6,Rick Pridgen,434
WAYNE COUNTY BOARD OF EDUCATION DISTRICT 6,Wade Leatham,433
WILKES COUNTY BOARD OF COMMISSIONERS (REP),Brian S. Minton,2556
WILKES COUNTY BOARD OF COMMISSIONERS (REP),David Gambill,2846
WILKES COUNTY BOARD OF COMMISSIONERS (REP),Gregory A. Minton,2206
WILKES COUNTY BOARD OF COMMISSIONERS (REP),Robert L. Wood,1221
WILKES COUNTY BOARD OF COMMISSIONERS (REP),Rodney Buff,995
WILKES COUNTY BOARD OF COMMISSIONERS (REP),Seth Cohn,1089
WILKES COUNTY BOARD OF EDUCATION,Brandon Whitaker,2322
WILKES COUNTY BOARD OF EDUCATION,Randall (Rudy) Holbrook,4101
WILKES COUNTY BOARD OF EDUCATION,Sharron Nichols Huffman,4340
WILKES COUNTY BOARD OF EDUCATION,Steve Collins,2321
WILKES COUNTY BOARD OF EDUCATION,Write-In (Miscellaneous),42
WILKES COUNTY SHERIFF (REP),Chris Shew,4120
WILKES COUNTY SHERIFF (REP),Eric L. Byrd,1730
WILKES COUNTY SHERIFF (REP),Sharon Call-Diaz,410
WILSON COUNTY SHERIFF (DEM),"Calvin Woodard, Jr.",6490
WILSON COUNTY SHERIFF (DEM),Christopher (Chris) Boykin,2427
WILSON COUNTY SHERIFF (DEM),Dinise Williams,192
YADKIN BOARD OF EDUCATION,Charlie Haire,1082
YADKIN BOARD OF EDUCATION,Howard McKnight,1789
YADKIN BOARD OF EDUCATION,Sam Crews,1849
YADKIN BOARD OF EDUCATION,Tim Weatherman,1980
YADKIN BOARD OF EDUCATION,Tom Kilby,1238
YADKIN BOARD OF EDUCATION,Write-In (Miscellaneous),65
YANCEY COUNTY BOARD OF COMMISSIONERS (DEM),Jill Austin,1046
YANCEY COUNTY BOARD OF COMMISSIONERS (DEM),Johnny Riddle,1005
YANCEY COUNTY BOARD OF COMMISSIONERS (DEM),Randy Griggs,285
YANCEY COUNTY BOARD OF COMMISSIONERS (DEM),Randy Ollis,834
